brand,year,review_text,sentiment_label,sentiment_score,avg_co2_emission_gkm,ev_share_percent,sustainability_index
BMW,2018,BMW offers decent performance but could improve charging speed.,Neutral,-0.11,156,8.7,0.05
BMW,2018,Impressive range and eco-friendly features by BMW.,Positive,0.51,156,8.7,0.05
BMW,2018,Impressive range and eco-friendly features by BMW.,Positive,0.57,156,8.7,0.05
BMW,2018,Smooth ride and amazing performance from BMW.,Positive,0.98,156,8.7,0.05
BMW,2018,BMW offers decent performance but could improve charging speed.,Neutral,0.03,156,8.7,0.05
BMW,2018,The BMW is worth every penny — luxurious and sustainable.,Positive,0.73,156,8.7,0.05
BMW,2018,BMW needs to work on their EV reliability.,Negative,-0.66,156,8.7,0.05
BMW,2018,BMW needs to work on their EV reliability.,Negative,-0.68,156,8.7,0.05
BMW,2018,The BMW is worth every penny — luxurious and sustainable.,Positive,0.84,156,8.7,0.05
BMW,2018,Impressive range and eco-friendly features by BMW.,Positive,0.58,156,8.7,0.05
BMW,2018,The BMW is worth every penny — luxurious and sustainable.,Positive,0.74,156,8.7,0.05
BMW,2018,Smooth ride and amazing performance from BMW.,Positive,0.85,156,8.7,0.05
BMW,2018,Smooth ride and amazing performance from BMW.,Positive,0.54,156,8.7,0.05
BMW,2018,Charging time is too long and the range is poor.,Negative,-0.64,156,8.7,0.05
BMW,2018,BMW really nailed the electric design this year.,Positive,0.49,156,8.7,0.05
BMW,2018,Charging time is too long and the range is poor.,Negative,-0.44,156,8.7,0.05
BMW,2018,The BMW interior feels outdated compared to competitors.,Negative,-0.54,156,8.7,0.05
BMW,2018,Smooth ride and amazing performance from BMW.,Positive,0.65,156,8.7,0.05
BMW,2018,The BMW is worth every penny — luxurious and sustainable.,Positive,0.5,156,8.7,0.05
BMW,2018,"Overall, BMW delivers what you expect for the price.",Neutral,0.32,156,8.7,0.05
BMW,2018,"Not bad, but not outstanding either — just fine for daily use.",Neutral,0.15,156,8.7,0.05
BMW,2018,BMW really nailed the electric design this year.,Positive,0.85,156,8.7,0.05
BMW,2018,The BMW is worth every penny — luxurious and sustainable.,Positive,0.53,156,8.7,0.05
BMW,2018,BMW needs to work on their EV reliability.,Negative,-0.61,156,8.7,0.05
